doc_id;chunk_id;title;text;url;doc_type;length
5eb20abf;21;152-FZ;На основании и во исполнение федеральных законов государственные органы, Банк России, органы местного с амоуправления в пределах своих полномочий могут принимать нормативные правовые акты, нормативные акты, правовые акты (далее - нормативные правовые акты) по отдельным вопросам, касающимся обработки персональных данных.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;321
5eb20abf;22;152-FZ;Такие акты не могут содержать положени я, ограничивающие права субъектов персональных данных, устанавливающие не предусмотренные федеральными законами ограничения деятельности операторов или возлагающие на операторов не предусмотренные федеральными законами обязанности, и подлежат официальному опубликованию.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;309
5eb20abf;25;152-FZ;Особенности обработки персональных данных, осуществляемой без использования средств авто матизации, могут быть установлены федеральными законами и иными нормативными правовыми актами  Российской Федерации с учетом положений настоящего Федерального закона.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;255
5eb20abf;27;152-FZ;Нормативные правовые акты, принимаемые в соответствии с частью 2  настоящей статьи, подлежат обязательному согласованию с уполномоченным органом по защите прав субъектов персональных данных в случаях, если указанные нормативны е правовые акты регулируют отношения, связанные с осуществлением трансграничной передачи персональных данных, обработкой специальных категорий персональных данных, биометрических персональных данных, персональных данных несовершеннолетних, предоставлением,  распространением персональных данных, полученных в результате обезличивания.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;561
5eb20abf;28;152-FZ;Срок указанного согласования не может превышать тридцать дней с даты поступления соответствующего нормативного правового акта в уполномоченный орган по защите прав субъектов перс ональных данных.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;195
5eb20abf;30;152-FZ;Если международным договором Российской Федерации установлены иные правила, чем те, которые предусмотрены настоящим Федеральным законом, применяются правила международного договора.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;181
5eb20abf;32;152-FZ;Решения межгосударственных органов, принятые на основании положений международных договоров Российской Федерации в их истолковании, противоречащем Конституции  Российской Федерации, не подлежат исполнению в Российской Федерации.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;228
5eb20abf;33;152-FZ;Такое противоречие может быть установлено в порядке , определенном федеральным конституционным законом.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;103
5eb20abf;35;152-FZ;ПР ИНЦИПЫ И УСЛОВИЯ ОБРАБОТКИ ПЕРСОНАЛЬНЫХ ДАННЫХ  Статья 5. Принципы обработки персональных данных  (в ред.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;108
5eb20abf;39;152-FZ;Обработка персональных данных должна ограничиваться достижением конкретных, заранее определенных и законных целей.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;114
5eb20abf;42;152-FZ;Не допускается объединение баз данных, содержащих персональные данные, обработка которых осуществляется в целях, несовместимых между собой.;https://www.ranepa.ru/upload/doc/pk/npa/2025/152-FZ.pdf;Нормативный акт;139
